dpto_ccdgo,mpio_ccdgo,mpio_cdpmp,clas_ccdgo,setr_ccdgo,setr_ccnct,secr_ccdgo,secr_ccnct,zu_ccdgo,zu_cdivi,zu_cnmbre,zu_ccnct,zu_narea,zu_naltd,zu_nano,shape_Leng,shape_Area,AUrban,CZ_mean
"15","686","15686","1","000","156861000","00","15686100000","000","15686000",SANTANA,"15686100000000",621254.41536700004,1607.00000000000,2024,0.05369336747,0.00005074156,620237.6561000000,1595.23669603136
"47","001","47001","1","000","470011000","00","47001100000","000","47001000","SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO","47001100000000",68042135.18060000241,6.00000000000,2024,1.07373512367,0.00563234197,67961871.0400000066,37.9975388589661
"54","313","54313","1","000","543131000","00","54313100000","000","54313000",GRAMALOTE,"54313100000000",838991.49225899996,1450.00000000000,2024,0.04050577460,0.00006876439,837241.6222000000,1471.44844317195
"05","308","05308","1","000","053081000","00","05308100000","000","05308000",GIRARDOTA,"05308100000000",3778546.03774000006,1408.00000000000,2024,0.11317398573,0.00030865939,3777199.1919999998,1391.30969816944
"86","757","86757","1","000","867571000","00","86757100000","000","86757000",LA DORADA,"86757100000000",1074533.95824000007,307.00000000000,2024,0.08557054135,0.00008708269,1075212.6329999999,305.513610107422
"70","221","70221","1","000","702211000","00","70221100000","000","70221000",COVEÑAS,"70221100000000",8202843.11780999973,8.00000000000,2024,0.20443919854,0.00067472306,8201015.6310000001,9.43016580867866
"08","433","08433","1","000","084331000","00","08433100000","000","08433000",MALAMBO,"08433100000000",12397110.41070000082,18.00000000000,2024,0.48606372746,0.00102487351,12387054.9100000001,16.9406190826779
"63","130","63130","1","000","631301000","00","63130100000","000","63130000",CALARCÁ,"63130100000000",7267661.25105999969,1684.00000000000,2024,0.24716816811,0.00059178090,7266091.6569999997,1503.67148523667
"47","058","47058","1","000","470581000","00","47058100000","000","47058000",EL DIFICIL,"47058100000000",2680961.91794000007,171.00000000000,2024,0.10171644471,0.00022097222,2677872.4249999998,174.109335441948
"76","001","76001","1","000","760011000","00","76001100000","000","76001000","SANTIAGO DE CALI, DISTRITO ESPECIAL, DEPORTIVO, CULTURAL, TURÍSTICO, EMPRESARIAL Y DE SERVICIOS","76001100000000",148548049.65599998832,960.00000000000,2024,0.96594586863,0.01206700625,148602324.1999999881,988.486600850289
"70","001","70001","1","000","700011000","00","70001100000","000","70001000",SINCELEJO,"70001100000000",30731346.03620000184,213.00000000000,2024,0.46329413523,0.00252771596,30718888.9899999984,200.604340215322
"68","679","68679","1","000","686791000","00","68679100000","000","68679000",SAN GIL,"68679100000000",7687237.09155999962,1120.00000000000,2024,0.20101443167,0.00062834504,7672916.7670000000,1158.61639113008
"25","214","25214","1","000","252141000","00","25214100000","000","25214000",COTA,"25214100000000",3309431.54143000022,2566.00000000000,2024,0.11367958718,0.00026978692,3305361.3139999998,2563.36749691215
"05","212","05212","1","000","052121000","00","05212100000","000","05212000",COPACABANA,"05212100000000",7711820.13023999985,1414.00000000000,2024,0.23950412157,0.00062988635,7709400.6600000001,1464.67628889042
