MpCodigo,MpNombre,MpArea,MpNorma,MpCategor,MpAltitud,Restriccio,Depto,ATotal,AUrban,ARural,CZ_mean
"52540",Policarpa,434.66529904100,Ordenanza No. 22 de 1972,1,1000,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,434665299.0000000000,270702.9845000000,434394596.0000000000,1017.30538309122
"52233",Cumbitara,355.55104496600,Ordenanza No. 65 de 1968,1,1675,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,355551044.8000000119,276591.2647000000,355274453.5000000000,1101.85284387711
"19450",Mercaderes,698.55523708800,,1,1156,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cauca,698555237.0000000000,2646055.8450000002,695909181.1000000238,934.091802603531
"19693",San Sebastián,419.24426830500,,1,2100,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cauca,419244268.3000000119,177307.2032000000,419066961.0000000000,2876.5270660633
"19022",Almaguer,236.85163991000,,1,2200,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cauca,236851639.9000000060,358574.4892000000,236493065.4000000060,2212.81717793304
"52256",El Rosario,520.79198100500,,1,1500,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,520791981.0000000000,286693.7356000000,520505287.1999999881,1088.21621646947
"95200",Miraflores,12774.76329620000,Ordenanza No. 01 de 1992,1,200,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Guaviare,12774763296.0000000000,875803.9405000000,12773887492.0000000000,231.838737813929
"41770",Suaza,429.62346068600,,1,1000,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Huila,429623460.6000000238,725516.8687000000,428897943.6999999881,1516.24876365718
"41551",Pitalito,630.73167128800,,1,1271,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Huila,630731671.2000000477,11629833.9000000004,619101837.2999999523,1605.90794696516
"41807",Timaná,185.72167465300,,1,1011,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Huila,185721674.5000000000,994626.2622000000,184727048.1999999881,1391.06597198149
"41244",Elías,80.44179958770,,1,1500,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Huila,80441799.5600000024,629686.6492000000,79812112.9099999964,1252.47087265125
"41319",Guadalupe,249.53561617100,,1,888,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Huila,249535616.0000000000,727668.5037000000,248807947.4000000060,1565.75064582749
"19100",Bolívar,798.34678938000,,1,1700,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cauca,798346789.2000000477,847857.5035000000,797498931.6000000238,1655.16667049188
"52427",Magüí,1810.61067309000,,1,23,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,1810610673.0000000000,409434.7220000000,1810201238.0000000000,123.934247867364
"52405",Leiva,310.69642021900,Decreto No. 030 Bis de 1978,1,1500,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,310696420.1000000238,241566.9462000000,310454853.1000000238,1357.83342591976
"41503",Oporapa,155.82073728400,Ordenanza No. 10 de 1963,1,1069,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Huila,155820737.0000000000,636888.2402000000,155183848.6999999881,1929.33827950805
"19785",Sucre,135.95853989200,Ordenanza No. 09 de 1999,1,1125,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cauca,135958539.8000000119,206468.8407000000,135752070.9000000060,1540.60779727949
"19397",La Vega,516.34694281500,,1,2200,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cauca,516346942.8000000119,492163.1919000000,515854779.6000000238,2425.0303167382
"41026",Altamira,180.97547264100,,1,1027,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Huila,180975472.5000000000,674370.6844000000,180301101.8000000119,996.605799489263
"95015",Calamar,13510.30760060000,Ordenanza No. 01 de 1992,1,233,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Guaviare,13510307600.0000000000,1043301.6430000000,13509264298.0000000000,272.164589411092
"41668",San Agustín,1390.85048612000,Ordenanza No. 24 de 1926,1,1627,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Huila,1390850486.0000000000,2142630.9750000001,1388707855.0000000000,2584.83187380118
"18001",Florencia,2546.94239385000,Decreto No. 0642 de 1912,1,266,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Caquetá,2546942393.0000000000,21368799.1200000010,2525573593.0000000000,1102.55781968297
"19075",Balboa,413.55223731300,Ordenanza No. 01 de 1967,1,1500,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cauca,413552237.3000000119,755856.7699000000,412796380.5000000000,1598.52541632361
"41791",Tarqui,362.79091729500,,1,840,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Huila,362790917.1000000238,755316.0129000000,362035601.0000000000,1399.36601019777
"52621",Roberto Payán,1460.03849900000,,1,69,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,1460038499.0000000000,231705.1386000000,1459806793.0000000000,51.5209719438623
"19392",La Sierra,208.46739426400,,1,1800,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cauca,208467394.0000000000,609077.4247000000,207858316.5000000000,1576.96343351995
"41660",Saladoblanco,466.72644779300,Ordenanza  No. 10 de 1948,1,1415,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Huila,466726447.6000000238,748616.9508000000,465977830.6000000238,2346.30772914533
"41359",Isnos,370.72869300500,,1,1900,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Huila,370728693.0000000000,950822.8799000001,369777870.1000000238,2121.97875795382
"41378",La Argentina,356.45750695500,Ordenanza No. 36 de 1959,1,1540,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Huila,356457506.8000000119,846021.5936000000,355611485.1999999881,2360.92248339813
"52520",Francisco Pizarro,526.08278202000,Decreto No. 126 de 1975,1,1,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,526082782.0000000000,353898.6115000000,525728883.3000000715,23.541747222274
"18256",El Paujil,1234.15379461000,Decreto No. 1678 de 1967,1,346,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Caquetá,1234153794.0000000000,1079098.2870000000,1233074695.0000000000,724.5953802217
"41298",Garzón,606.40399452200,,1,830,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Huila,606403994.5000000000,5724736.6730000004,600679257.7999999523,1636.60619910334
"19622",Rosas,169.18014592900,,1,1714,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cauca,169180145.9000000060,240946.6893000000,168939199.1999999881,1581.15625773916
"18247",El Doncello,1105.49811350000,Decreto No. 1678 de 1967,1,373,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Caquetá,1105498113.0000000000,2153195.6340000001,1103344917.0000000000,813.762180999241
"19532",Patía,755.83883037200,,1,987,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cauca,755838830.2000000477,2287858.1370000001,753550972.0000000000,1050.98035018972
"41548",Pital,193.64325082300,,1,918,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Huila,193643250.8000000119,913076.2341000000,192730174.5000000000,1464.86081743718
