,DEPARTAMENTO,nombre,latitud,longitud,altitud,ThermalLevelValue
133,Boyacá,LA CAPILLA - AUT [35085080],5.09919444,-73.436,1917,"Frío, 18°C>T>12°C, <=2800meter"
108,Boyacá,SANTA MARIA - AUT [35085070],4.84125,-73.25669444,1300,"Templado, 24°C>T>18°C, <=1800meter"
121,Boyacá,PARAMO RABANAL - AUT [35075080],5.39238889,-73.56277778,3398,"Muy Frío, 12°C>T>6°C, <=3700meter"
3768,Cauca,PUENTE ARAGON [26010100],2.19158333,-76.48230556,2470,"Frío, 18°C>T>12°C, <=2800meter"
115,Bogotá,IDEAM BOGOTA  - AUT [21206960],4.6,-74.06666667,2646,"Frío, 18°C>T>12°C, <=2800meter"
144,Chocó,BORAUDO - AUT [11027070],5.51461111,-76.57569444,78,"Cálido, T>=24°C, <=800meter"
3840,Chocó,LA LOMA PUEBLO [11037030],5.58466667,-76.75327778,72,"Cálido, T>=24°C, <=800meter"
305,La Guajira,PUERTO BOLIVAR - AUT [15079010],12.22427778,-71.96766667,0,"Cálido, T>=24°C, <=800meter"
209,La Guajira,TOROMANA - AUT [15085050],12.08352778,-71.21094444,144,"Cálido, T>=24°C, <=800meter"
481,Atlantico,AEROPUERTO E. CORTISSOZ - AUT [29045190],10.91777778,-74.77972222,14,"Cálido, T>=24°C, <=800meter"
3309,Santander,AEROPUERTO PALONEGRO [23195502],7.12147222,-73.18452778,1189,"Templado, 24°C>T>18°C, <=1800meter"
2842,Bolívar,AEROPUERTO RAFAEL NUNEZ [14015080],10.44725,-75.51602778,2,"Cálido, T>=24°C, <=800meter"
253,Santander,AP.PALO NEGRO [23195250],7.12147222,-73.18452778,1189,"Templado, 24°C>T>18°C, <=1800meter"
203,Córdoba,LORICA  ITA - AUT [13085050],9.25272222,-75.84441667,30,"Cálido, T>=24°C, <=800meter"
1465,Tolima,COCORA [21217300],4.36841667,-75.33541667,1420,"Templado, 24°C>T>18°C, <=1800meter"
238,Meta,LA PALOMERA - AUT [35185010],4.26036111,-72.56447222,188,"Cálido, T>=24°C, <=800meter"
106,Bogotá,CIUDAD BOLIVAR [21206940],4.57686111,-74.17677778,2687,"Frío, 18°C>T>12°C, <=2800meter"
118,Cundinamarca,SANTA ROSITA - AUT [21209920],5.19225,-73.77905556,2618,"Frío, 18°C>T>12°C, <=2800meter"
4489,Cauca,EL DIABLO - AUT [22025040],2.98,-76.06,4100,"Extremadamente Frio, 6°C>T>0°C, <=4700meter"
65,Huila,HACIENDA MANILA - AUT [21115180],3.13305556,-75.08152778,600,"Cálido, T>=24°C, <=800meter"
173,Antioquia,MACEO - AUT [23105070],6.57163889,-74.79472222,980,"Templado, 24°C>T>18°C, <=1800meter"
113,RIsaralda,MARSELLA - AUT [26135290],4.92958333,-75.73838889,1659,"Templado, 24°C>T>18°C, <=1800meter"
70,Valle del Cauca,JUANCHACO - AUT [54077210],3.92514722,-77.34900556,18,"Cálido, T>=24°C, <=800meter"
79,Valle del Cauca,EL VINCULO - AUT [26095320],3.36041667,-76.30000556,980,"Templado, 24°C>T>18°C, <=1800meter"
66,Valle del Cauca,LA DIANA - AUT [26075120],3.31405556,-76.18569444,1615,"Templado, 24°C>T>18°C, <=1800meter"
69,Valle del Cauca,SILOE - AUT [26085160],3.4255,-76.56061111,1238,"Templado, 24°C>T>18°C, <=1800meter"
2264,Valle del Cauca,FARALLONES - AUT [26055100],3.41605556,-76.6515,2275,"Frío, 18°C>T>12°C, <=2800meter"
2272,Valle del Cauca,LA INDEPENDENCIA - AUT [26055110],3.18536111,-76.56930556,1004,"Templado, 24°C>T>18°C, <=1800meter"
22,Cauca,EL TABLAZO - AUT [26015010],2.47483306,-76.58129361,1837,"Frío, 18°C>T>12°C, <=2800meter"
2078,Valle del Cauca,SILOE - AUT [23085250],3.4255,-76.56061111,1238,"Templado, 24°C>T>18°C, <=1800meter"
80,Valle del Cauca,EL PLACER - AUT [26105240],3.87911111,-76.10055556,2200,"Frío, 18°C>T>12°C, <=2800meter"
3482,Valle del Cauca,LAS BRISAS - AUT [26115090],4.77558333,-76.14427778,1971,"Frío, 18°C>T>12°C, <=2800meter"
