,nombre,latitud,longitud,altitud,ThermalLevelValue
1376,VENTAQUEMADA [35070020],5.38305556,-73.60288889,2630,"Frío, 18°C>T>12°C, <=2800meter"
2148,PUENTE CASABIANCA [21167010],3.76666667,-74.91666667,222,"Cálido, T>=24°C, <=800meter"
2331,UMBITA [35070050],5.21911111,-73.44455556,2300,"Frío, 18°C>T>12°C, <=2800meter"
2264,CEDROS LOS [35087040],5.01676389,-73.21679167,1218,"Templado, 24°C>T>18°C, <=1800meter"
1931,BOCATOMA [21257020],4.8,-74.98333333,470,"Cálido, T>=24°C, <=800meter"
4188,UNIVERSIDAD INDUSTRIAL SANTANDER [23195040],7.14472222,-73.12222222,118,"Cálido, T>=24°C, <=800meter"
1556,AEROPUERTO PALANQUERO [23035020],5.47138889,-74.65472222,172,"Cálido, T>=24°C, <=800meter"
3718,IMUES [52050090],1.05525,-77.49955556,2550,"Frío, 18°C>T>12°C, <=2800meter"
3720,TANGUA [52050080],1.09416667,-77.39197222,2420,"Frío, 18°C>T>12°C, <=2800meter"
1962,ORO PODRIDO [35027020],4.35,-73.88333333,1345,"Templado, 24°C>T>18°C, <=1800meter"
1807,SANTA MARIA [35070180],4.86077778,-73.25675,850,"Templado, 24°C>T>18°C, <=1800meter"
1816,PESCA [24030120],5.52303306,-73.07684778,2678,"Frío, 18°C>T>12°C, <=2800meter"
1385,RAMIRIQUI [35070010],5.39952778,-73.33297222,2360,"Frío, 18°C>T>12°C, <=2800meter"
1199,ZETAQUIRA [35080010],5.28297222,-73.16927778,1720,"Templado, 24°C>T>18°C, <=1800meter"
1294,RONDON [35080040],5.35,-73.21666667,2160,"Frío, 18°C>T>12°C, <=2800meter"
1995,TOCA [24030130],5.56666667,-73.18333333,2740,"Frío, 18°C>T>12°C, <=2800meter"
368,MACANAL [35070120],4.96666667,-73.31666667,1710,"Templado, 24°C>T>18°C, <=1800meter"
1276,TURMEQUE [35070030],5.31775,-73.49636111,2400,"Frío, 18°C>T>12°C, <=2800meter"
1049,SOCOTA [24030170],6.03333333,-72.63333333,2443,"Frío, 18°C>T>12°C, <=2800meter"
4097,SIBUNDOY [47015030],1.18333333,-76.91666667,2100,"Frío, 18°C>T>12°C, <=2800meter"
344,QUEBRADA HONDA [35070130],4.95025,-73.30797222,1200,"Templado, 24°C>T>18°C, <=1800meter"
985,TASCO [24030160],5.86035722,-72.78479139,2486,"Frío, 18°C>T>12°C, <=2800meter"
1033,PAZ DE RIO [24030150],5.98333333,-72.75,2790,"Frío, 18°C>T>12°C, <=2800meter"
827,OIBA-PUENTE VARGAS [24017520],6.25,-73.33333333,1400,"Templado, 24°C>T>18°C, <=1800meter"
1206,PAJARITO [35190050],5.30294444,-72.70194444,842,"Templado, 24°C>T>18°C, <=1800meter"
2926,PALMAS LAS [23197170],7.21666667,-73.23333333,331,"Cálido, T>=24°C, <=800meter"
250,AEROPUERTO ANTONIO NARINO [52045020],1.39408333,-77.29086111,1796,"Templado, 24°C>T>18°C, <=1800meter"
2340,CUCUNUBA,5.25,-73.77,3,"Cálido, T>=24°C, <=800meter"
1545,LIBANO [21250500],4.92188889,-75.07586111,1649,"Templado, 24°C>T>18°C, <=1800meter"
3673,SAMANIEGO [52050030],1.34144444,-77.59141667,1700,"Templado, 24°C>T>18°C, <=1800meter"
3672,SAMANIEGO [52050020],1.34144444,-77.59141667,1700,"Templado, 24°C>T>18°C, <=1800meter"
