CODIGO,NOMBRE,CATEGORIA,TECNOLOGIA,ESTADO,FECHA_INSTALACION,FECHA_SUSPENSION,ALTITUD,LATITUD,LONGITUD,DEPARTAMENTO,MUNICIPIO,AREA_OPERATIVA,ENTIDAD,AREA_HIDROGRAFICA,ZONA_HIDROGRAFICA,SUBZONA_HIDROGRAFICA,CORRIENTE,Catalogo,Version,station,n
16035030,SARDINATA [16035030],Pluviométrica,"Automática con Telemetría, Convencional",En Mantenimiento,15/03/1973,,320,8.076666667,-72.80305556,Norte De Santander,Sardinata,Area Operativa 08 - Santanderes-Arauca,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Catatumbo,"Río Nuevo Presidente - Tres Bocas (Sardinata, Tibu)",,CNE_IDEAM,20251226,16035030,9
16040050,LA MARIA - AUT [16040050],Climatológica Principal,"Automática con Telemetría, Convencional",Activa,15/02/1985,,1927,7.93485,-73.21358,Norte De Santander,Ábrego,Area Operativa 08 - Santanderes-Arauca,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Catatumbo,Río Algodonal (Alto Catatumbo),,CNE_IDEAM,20251226,16040050,5
16055120,AGUAS DE LA VIRGEN  - AUT [16055120],Climatológica Principal,Automática con Telemetría,En Mantenimiento,09/08/2006,,1679,8.22769,-73.3975,Norte De Santander,Ocaña,Area Operativa 08 - Santanderes-Arauca,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Catatumbo,Río Algodonal (Alto Catatumbo),,CNE_IDEAM,20251226,16055120,15
16055501,GABRIEL MARIA  - AUT  [16055501],Climatológica Principal,Automática con Telemetría,Activa,20/05/2013,,1261,8.412497222,-73.33944167,Norte De Santander,Convención,Area Operativa 08 - Santanderes-Arauca,CENTRO NACIONAL DE INVESTIGACIONES DE CAFE,Caribe,Catatumbo,Río Algodonal (Alto Catatumbo),,CNE_OE,20251226,16055501,8
1605700152,PALO GRANDE - AUT   [1605700152],Limnigráfica,"Automática con Telemetría, Convencional",En Mantenimiento,15/12/2017,05/08/2025,1087,8.290761111,-73.3045,Norte De Santander,Ocaña,Area Operativa 08 - Santanderes-Arauca,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Catatumbo,Río Algodonal (Alto Catatumbo),Algodonal,CNE_IDEAM,20251226,1605700152,5
16057030,LA CABANA - AUT [16057030],Limnigráfica,"Automática con Telemetría, Convencional",En Mantenimiento,15/10/1971,,1220,8.197805556,-73.31825,Norte De Santander,Ocaña,Area Operativa 08 - Santanderes-Arauca,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Catatumbo,Río Algodonal (Alto Catatumbo),Algodonal,CNE_IDEAM,20251226,16057030,16
17015010,AEROPUERTO SESQUICENTENARIO [17015010],Sinóptica Principal,"Automática con Telemetría, Convencional",Activa,15/01/1958,,3,12.587849,-81.701117,"Archipielago De San Andres, Providencia Y Santa Catalina",San Andrés,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Islas Caribe,San Andres,,CNE_IDEAM,20251226,17015010,12
17017001,JHONNY CAY  - AUT  [17017001],Limnigráfica,Automática con Telemetría,Activa,06/08/2012,,0,12.599305556,-81.689360833,"Archipielago De San Andres, Providencia Y Santa Catalina",San Andrés,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,INSTITUTO DE INVESTIGACIONES MARINAS Y COSTERAS JOSE BENITO VIVES DE ANDREIS,Caribe,Islas Caribe,OTRAS ISLAS DEL CARIBE Y ZONA MARITIMA,Mar Caribe,CNE_OE,20251226,17017001,9
17019010,SAN ANDRES - AUT [17019010],Meteorologica Marina,"Automática con Telemetría, Convencional",Activa,15/12/1996,,1,12.556111111,-81.703388889,"Archipielago De San Andres, Providencia Y Santa Catalina",San Andrés,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Islas Caribe,OTRAS ISLAS DEL CARIBE Y ZONA MARITIMA,Mar Caribe,CNE_IDEAM,20251226,17019010,6
17025020,AEROPUERTO EL EMBRUJO AUT [17025020],Sinóptica Principal,"Automática con Telemetría, Convencional",Activa,15/01/1973,,7,13.3595,-81.357721944,"Archipielago De San Andres, Providencia Y Santa Catalina",San Andres Y  Providencia (Santa Isabel),Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Islas Caribe,Providencia,,CNE_IDEAM,20251226,17025020,5
