station,empirical_dist,p_dist,delta,deltao,eval,fit,n,best_fit,best_fit_sort
11117050,edf_gringorten,logloggamma,0.1474048269237445,0.5865427407550001,Δo > Δ,1,5,1,3
11117050,edf_cunnane,logloggamma,0.1504096346160522,0.5865427407550001,Δo > Δ,1,5,1,4
11117050,edf_blom,logloggamma,0.152241136447554,0.5865427407550001,Δo > Δ,1,5,1,5
11117050,edf_adamowski,logbetaprime,0.1535453055890551,0.5865427407550001,Δo > Δ,1,5,1,6
11117050,edf_tukey,logloggamma,0.1552173269237445,0.5865427407550001,Δo > Δ,1,5,1,7
11117050,edf_filliben,logloggamma,0.1563240370821787,0.5865427407550001,Δo > Δ,1,5,1,8
11117050,edf_beard,logloggamma,0.1568437209757891,0.5865427407550001,Δo > Δ,1,5,1,9
11117050,edf_jenkinson,logloggamma,0.1568437209757891,0.5865427407550001,Δo > Δ,1,5,1,10
11117050,edf_chegodayev,logloggamma,0.1575321417385592,0.5865427407550001,Δo > Δ,1,5,1,11
11117050,edf_california,logkstwobign,0.1665371591324501,0.5865427407550001,Δo > Δ,1,5,1,12
11135030,edf_hazen,mielke,0.0214878412643629,0.530385761606,Δo > Δ,1,6,1,1
11135030,edf_gringorten,mielke,0.0263898020486766,0.530385761606,Δo > Δ,1,6,1,2
11135030,edf_cunnane,mielke,0.0295523573933951,0.530385761606,Δo > Δ,1,6,1,3
11135030,edf_blom,mielke,0.0314878412643629,0.530385761606,Δo > Δ,1,6,1,4
11135030,edf_tukey,mielke,0.0346457360012049,0.530385761606,Δo > Δ,1,6,1,5
11135030,edf_filliben,mielke,0.0358240549328625,0.530385761606,Δo > Δ,1,6,1,6
11135030,edf_beard,mielke,0.0363781233960243,0.530385761606,Δo > Δ,1,6,1,7
11135030,edf_jenkinson,mielke,0.0363781233960243,0.530385761606,Δo > Δ,1,6,1,8
11135030,edf_chegodayev,mielke,0.0371128412643629,0.530385761606,Δo > Δ,1,6,1,9
11135030,edf_adamowski,mielke,0.0426648340312702,0.530385761606,Δo > Δ,1,6,1,10
11135030,edf_weibull,mielke,0.0701373615037976,0.530385761606,Δo > Δ,1,6,1,11
11135030,edf_california,mielke,0.1048211745976962,0.530385761606,Δo > Δ,1,6,1,12
11159010,edf_weibull,mielke,0.0691968445609198,0.417612680231,Δo > Δ,1,9,1,1
11159010,edf_adamowski,mielke,0.0818909195770762,0.417612680231,Δo > Δ,1,9,1,2
11159010,edf_chegodayev,mielke,0.0852503820630784,0.417612680231,Δo > Δ,1,9,1,3
11159010,edf_jenkinson,mielke,0.0859308701999019,0.417612680231,Δo > Δ,1,9,1,4
11159010,edf_beard,mielke,0.0859308701999019,0.417612680231,Δo > Δ,1,9,1,5
11159010,edf_filliben,mielke,0.086443143703864,0.417612680231,Δo > Δ,1,9,1,6
11159010,edf_tukey,mielke,0.087530017321437,0.417612680231,Δo > Δ,1,9,1,7
11159010,edf_blom,mielke,0.0904257702171899,0.417612680231,Δo > Δ,1,9,1,8
11159010,edf_cunnane,mielke,0.0921884024146047,0.417612680231,Δo > Δ,1,9,1,9
11159010,edf_gringorten,mielke,0.0950488143139182,0.417612680231,Δo > Δ,1,9,1,10
11159010,edf_california,mielke,0.0956380395019046,0.417612680231,Δo > Δ,1,9,1,11
11159010,edf_hazen,mielke,0.099434779226199,0.417612680231,Δo > Δ,1,9,1,12
12015060,edf_hazen,ncf,0.0897621470314823,0.5865427407550001,Δo > Δ,1,5,1,1
12015060,edf_gringorten,ncf,0.0944496470314822,0.5865427407550001,Δo > Δ,1,5,1,2
12015060,edf_cunnane,ncf,0.09745445472379,0.5865427407550001,Δo > Δ,1,5,1,3
12015060,edf_blom,ncf,0.0992859565552918,0.5865427407550001,Δo > Δ,1,5,1,4
12015060,edf_tukey,ncf,0.1022621470314822,0.5865427407550001,Δo > Δ,1,5,1,5
12015060,edf_filliben,ncf,0.1033688571899166,0.5865427407550001,Δo > Δ,1,5,1,6
12015060,edf_beard,ncf,0.1038885410835268,0.5865427407550001,Δo > Δ,1,5,1,7
12015060,edf_jenkinson,ncf,0.1038885410835268,0.5865427407550001,Δo > Δ,1,5,1,8
12015060,edf_chegodayev,ncf,0.1045769618462971,0.5865427407550001,Δo > Δ,1,5,1,9
12015060,edf_adamowski,ncf,0.1079439652133005,0.5865427407550001,Δo > Δ,1,5,1,10
12015060,edf_weibull,ncf,0.1230954803648156,0.5865427407550001,Δo > Δ,1,5,1,11
12015060,edf_california,loglaplace_asymmetric,0.1359581722457336,0.5865427407550001,Δo > Δ,1,5,1,12
12015100,edf_hazen,fisk,0.0933255190686643,0.3942745923300002,Δo > Δ,1,10,1,1
12015100,edf_gringorten,fisk,0.0962899459461347,0.3942745923300002,Δo > Δ,1,10,1,2
12015100,edf_cunnane,fisk,0.098227479852978,0.3942745923300002,Δo > Δ,1,10,1,3
12015100,edf_blom,fisk,0.0994230800442741,0.3942745923300002,Δo > Δ,1,10,1,4
12015100,edf_california,logweibull_min,0.1012367469322398,0.3942745923300002,Δo > Δ,1,10,1,5
12015100,edf_tukey,fisk,0.1013900351976966,0.3942745923300002,Δo > Δ,1,10,1,6
12015100,edf_filliben,fisk,0.1021291852529383,0.3942745923300002,Δo > Δ,1,10,1,7
